name,value
Marge Simpson,0.038684210526315786
Bart Simpson,0.15587719298245617
Homer Simpson,0.37166666666666665
Lisa Simpson,0.17570175438596491
Maggie Simpson,0.0
Krusty the Clown,0.0
Ned Flanders,0.0
Milhouse Van Houten,0.11596491228070174
Moe Szyslak,0.031578947368421054
Groundskeeper Willie,0.0
Edna Krabappel,0.0
Apu Nahasapeemapetilon,0.0
Lenny Leonard,0.0
Carl Carlson,0.0
Comic Book Guy,0.0
Cletus Spuckler,0.0
"Timothy Lovejoy, Jr.",0.0
Princess Penelope,0.0
Milford Van Houten,0.0
Eliza Simpson,0.0
Virgil Simpson,0.0
