name,char_wiki_link,extra_wiki_link
Homer Simpson,Homer_Simpson,Homer
Marge Simpson,Marge_Simpson,Marge
Bart Simpson,Bart_Simpson,Bart
Lisa Simpson,Lisa_Simpson,Lisa
Maggie Simpson,Maggie_Simpson,Maggie
Abe,Abraham_Simpson_II,Abraham
Ned Flanders,Ned_Flanders,Ned
Mr. Burns,Charles_Montgomery_Burns,Charles
Krusty the Clown,Krusty_the_Clown,Krusty
Moe Szyslak,Moe_Szyslak,Moe
Seymour Skinner,Seymour_Skinner,Seymour
Milhouse Van Houten,Milhouse_Van_Houten,Milhouse
Edna Krabappel,Edna_Krabappel,Edna
Apu Nahasapeemapetilon,Apu_Nahasapeemapetilon,Apu
Eleanor Abernathy,Eleanor_Abernathy,Eleanor
Akira,Akira,Akira
Ms. Albright,Ms._Albright,Ms.
Woody Allen,Woody_Allen,Woody
Aristotle Amadopolis,Aristotle_Amadopolis,Aristotle
State Comptroller Atkins,State_Comptroller_Atkins,State
Mary Bailey,Mary_Bailey,Mary
Jasper Beardly,Jasper_Beardly,Jasper
Benjamin (nerd),Benjamin_(nerd),Benjamin
Bill (KBBL DJ),Bill_(KBBL_DJ),Bill
Billy (actor),Billy_(actor),Billy
Birch Barlow,Birch_Barlow,Birch
Black Weasel,Black_Weasel,Black
Blue-Haired Lawyer,Blue-Haired_Lawyer,Blue-Haired
Patty Bouvier,Patty_Bouvier,Patty
Selma Bouvier,Selma_Bouvier,Selma
Cowboy Bob,Cowboy_Bob,Cowboy
Sideshow Bob,Robert_Terwilliger,Robert
Booberella,Booberella,Booberella
Wendell Borton,Wendell_Borton,Wendell
Brittany Brockman,Brittany_Brockman,Brittany
Don Brodka,Don_Brodka,Don
Lucille Botzcowski,Lucille_Botzcowski,Lucille
Bumblebee Man,Bumblebee_Man,Bumblebee
Larry Burns,Larry_Burns,Larry
Capital City Goofball,Capital_City_Goofball,Capital
Carl Carlson,Carl_Carlson,Carl
Cesar,Cesar,Cesar
Gary Chalmers,Gary_Chalmers,Gary
Charlie (SNPP),Charlie_(SNPP),Charlie
Chazz Busby,Chazz_Busby,Chazz
Scott Christian,Scott_Christian,Scott
Sebastian Cobb,Sebastian_Cobb,Sebastian
Colin,Colin,Colin
Dr. Hector von Colossus,Dr._Hector_von_Colossus,Dr.
Cora,Cora,Cora
Mr. Costington,Mr._Costington,Mr.
Arthur Crandall,Arthur_Crandall,Arthur
Joey Crusher,Joey_Crusher,Joey
Database,Database,Database
Declan Desmond,Declan_Desmond,Declan
Dewey Largo,Dewey_Largo,Dewey
Dwight Diddlehopper,Dwight_Diddlehopper,Dwight
Disco Stu,Disco_Stu,Disco
Doug (nerd),Doug_(nerd),Doug
Duffman,Duffman,Duffman
Eddie,Eddie,Eddie
Happy Little Elves,Happy_Little_Elves,Happy
Ernst,Ernst,Ernst
Fat Tony,Fat_Tony,Fat
Fallout Boy,Fallout_Boy,Fallout
Frankie the Squealer,Frankie_the_Squealer,Frankie
Maude Flanders,Maude_Flanders,Maude
Rod Flanders,Rod_Flanders,Rod
Todd Flanders,Todd_Flanders,Todd
Doris Freedman,Doris_Freedman,Doris
Jonathan Frink,Jonathan_Frink,Jonathan
Frog Prince,Frog_Prince,Frog
Gabbo,Gabbo,Gabbo
Gary (nerd),Gary_(nerd),Gary
Gavin,Gavin,Gavin
Alice Glick,Alice_Glick,Alice
Gloria Jailbird,Gloria_Jailbird,Gloria
Gloria (White Christmas Blues),Gloria_(White_Christmas_Blues),Gloria
God,God,God
Grady,Grady,Grady
Frank Grimes,Frank_Grimes,Frank
"Frank Grimes, Jr.","Frank_Grimes,_Jr.",Frank
Matt Groening (character),Matt_Groening_(character),Matt
Barney Gumble,Barney_Gumble,Barney
Gil Gunderson,Gil_Gunderson,Gil
Gunter,Gunter,Gunter
Handsome Pete,Handsome_Pete,Handsome
Judge Constance Harm,Judge_Constance_Harm,Judge
Herman Hermann,Herman_Hermann,Herman
Bernice Hibbert,Bernice_Hibbert,Bernice
Julius Hibbert,Julius_Hibbert,Julius
Elizabeth Hoover,Elizabeth_Hoover,Elizabeth
Lionel Hutz,Lionel_Hutz,Lionel
Itchy,Itchy,Itchy
Jack Lassen,Jack_Lassen,Jack
Jeremy Jailbird,Jeremy_Jailbird,Jeremy
Snake Jailbird,Snake_Jailbird,Snake
Jake the Barber,Jake_the_Barber,Jake
Jacques,Jacques,Jacques
Comic Book Guy,Comic_Book_Guy,Comic
Jeremy Freedman,Jeremy_Freedman,Jeremy
Jericho,Jericho,Jericho
Joey (mafia),Joey_(mafia),Joey
Jimbo Jones,Jimbo_Jones,Jimbo
Rachel Jordan,Rachel_Jordan,Rachel
Julio,Julio,Julio
Kang,Kang,Kang
Princess Kashmir,Princess_Kashmir,Princess
Kent Brockman,Kent_Brockman,Kent
Kodos,Kodos,Kodos
Leon Kompowsky,Leon_Kompowsky,Leon
Coach Krupt,Coach_Krupt,Coach
Rabbi Hyman Krustofsky,Rabbi_Hyman_Krustofsky,Rabbi
Kumiko Albertson,Kumiko_Albertson,Kumiko
Cookie Kwan,Cookie_Kwan,Cookie
Chester J. Lampwick,Chester_J._Lampwick,Chester
Lard Lad,Lard_Lad,Lard
Larry (barfly),Larry_(barfly),Larry
The Leader,The_Leader,The
Lenny Leonard,Lenny_Leonard,Lenny
Leopold,Leopold,Leopold
Leprechaun,Leprechaun,Leprechaun
Lewis Clark,Lewis_Clark,Lewis
Ling Bouvier,Ling_Bouvier,Ling
Professor Lombardo,Professor_Lombardo,Professor
Lou,Lou,Lou
Louie (mafia),Louie_(mafia),Louie
Helen Lovejoy,Helen_Lovejoy,Helen
Jessica Lovejoy,Jessica_Lovejoy,Jessica
Lowblow,Lowblow,Lowblow
Luann Van Houten,Luann_Van_Houten,Luann
Lugash,Lugash,Lugash
Lurleen Lumpkin,Lurleen_Lumpkin,Lurleen
Lyle Lanley,Lyle_Lanley,Lyle
Horatio McCallister,Horatio_McCallister,Horatio
Mr. McGreg,Mr._McGreg,Mr.
Jack Marley,Jack_Marley,Jack
Marty (KBBL DJ),Marty_(KBBL_DJ),Marty
Troy McClure,Troy_McClure,Troy
Melvin Van Horne,Melvin_Van_Horne,Melvin
"Roger Meyers, Jr.","Roger_Meyers,_Jr.",Roger
Milo,Milo,Milo
Hans Moleman,Hans_Moleman,Hans
Marvin Monroe,Marvin_Monroe,Marvin
Mervin Monroe,Mervin_Monroe,Mervin
Nelson Muntz,Nelson_Muntz,Nelson
Eddie Muntz,Eddie_Muntz,Eddie
Mrs. Muntz,Mrs._Muntz,Mrs.
Captain Lance Murdock,Captain_Lance_Murdock,Captain
Bleeding Gums Murphy,Bleeding_Gums_Murphy,Bleeding
Lindsey Naegle,Lindsey_Naegle,Lindsey
