no_overall,episode_name,males_all,males_below_18,males_18_29,males_30_44,males_45_plus,females_all,females_18_29,females_30_44,females_45_plus,males_all_amount,males_below_18_amount,males_18_29_amount,males_30_44_amount,males_45_plus_amount,females_all_amount,females_below_18_amount,females_18_29_amount,females_30_44_amount,females_45_plus_amount,season
1,Simpsons Roasting on an Open Fire,8.2,8.2,8.3,8.1,8.0,7.8,7.8,7.8,7.1,3343.0,14.0,984.0,1742.0,462.0,456.0,0.0,129.0,231.0,74.0,1
2,Bart the Genius,7.8,8.6,7.8,7.7,7.7,7.4,7.5,7.4,6.2,2179.0,10.0,741.0,1082.0,243.0,239.0,1.0,85.0,112.0,28.0,1
3,Homer's Odyssey,7.4,7.2,7.5,7.4,7.3,6.9,6.8,6.9,5.9,1913.0,10.0,655.0,956.0,210.0,210.0,0.0,76.0,99.0,24.0,1
4,There's No Disgrace Like Home,7.8,7.6,7.8,7.7,7.8,7.3,7.4,7.3,6.5,1889.0,6.0,626.0,963.0,217.0,204.0,0.0,70.0,100.0,25.0,1
5,Bart the General,8.0,8.6,8.2,8.0,7.8,7.4,7.5,7.5,5.6,1920.0,6.0,648.0,967.0,221.0,201.0,0.0,73.0,95.0,24.0,1
6,Moaning Lisa,7.6,5.9,7.8,7.5,7.4,7.3,7.7,7.2,5.3,1843.0,6.0,630.0,913.0,215.0,214.0,0.0,79.0,101.0,23.0,1
7,The Call of the Simpsons,7.8,7.9,7.8,7.8,7.8,7.2,7.2,7.4,6.0,1799.0,6.0,602.0,903.0,215.0,197.0,0.0,70.0,99.0,21.0,1
8,The Telltale Head,7.7,7.5,7.9,7.6,7.6,7.1,7.3,7.0,6.0,1754.0,7.0,574.0,891.0,213.0,188.0,0.0,63.0,95.0,22.0,1
9,Life on the Fast Lane,7.5,8.3,7.6,7.4,7.4,7.2,7.5,7.2,5.8,1742.0,5.0,574.0,885.0,209.0,195.0,0.0,65.0,100.0,22.0,1
10,Homer's Night Out,7.4,7.6,7.4,7.4,7.4,7.0,7.2,6.9,5.8,1672.0,7.0,555.0,841.0,202.0,182.0,0.0,64.0,87.0,22.0,1
11,The Crepes of Wrath,7.9,8.8,7.9,7.8,7.9,7.2,7.5,7.1,5.9,1697.0,5.0,557.0,858.0,206.0,192.0,0.0,69.0,91.0,22.0,1
