no_overall,season,no_in_season,episode_name,airdate,viewers (millions)
1,1,1,Simpsons Roasting on an Open Fire,"December 17, 1989 (1989-12-17)",26.7
2,1,2,Bart the Genius,"January 14, 1990 (1990-01-14)",24.5
3,1,3,Homer's Odyssey,"January 21, 1990 (1990-01-21)",27.5
4,1,4,There's No Disgrace Like Home,"January 28, 1990 (1990-01-28)",20.2
5,1,5,Bart the General,"February 4, 1990 (1990-02-04)",27.1
6,1,6,Moaning Lisa,"February 11, 1990 (1990-02-11)",27.4
7,1,7,The Call of the Simpsons,"February 18, 1990 (1990-02-18)",27.6
8,1,8,The Telltale Head,"February 25, 1990 (1990-02-25)",28
9,1,9,Life on the Fast Lane,"March 18, 1990 (1990-03-18)",33.5
10,1,10,Homer's Night Out,"March 25, 1990 (1990-03-25)",30.3
11,1,11,The Crepes of Wrath,"April 15, 1990 (1990-04-15)",31.2
12,1,12,Krusty Gets Busted,"April 29, 1990 (1990-04-29)",30.4
13,1,13,Some Enchanted Evening,"May 13, 1990 (1990-05-13)",27.1
14,2,1,"Bart Gets an ""F""","October 11, 1990 (1990-10-11)",33.6
15,2,2,Simpson and Delilah,"October 18, 1990 (1990-10-18)",29.9
16,2,3,Treehouse of Horror,"October 25, 1990 (1990-10-25)",27.4
17,2,4,Two Cars in Every Garage and Three Eyes on Every Fish,"November 1, 1990 (1990-11-01)",26.1
18,2,5,Dancin' Homer,"November 8, 1990 (1990-11-08)",26.1
19,2,6,Dead Putting Society,"November 15, 1990 (1990-11-15)",25.4
20,2,7,Bart vs. Thanksgiving,"November 22, 1990 (1990-11-22)",25.9
21,2,8,Bart the Daredevil,"December 6, 1990 (1990-12-06)",26.2
22,2,9,Itchy & Scratchy & Marge,"December 20, 1990 (1990-12-20)",22.2
23,2,10,Bart Gets Hit by a Car,"January 10, 1991 (1991-01-10)",24.8
24,2,11,"One Fish, Two Fish, Blowfish, Blue Fish","January 24, 1991 (1991-01-24)",24.2
25,2,12,The Way We Was,"January 31, 1991 (1991-01-31)",26.8
26,2,13,Homer vs. Lisa and the 8th Commandment,"February 7, 1991 (1991-02-07)",26.2
27,2,14,Principal Charming,"February 14, 1991 (1991-02-14)",23.9
28,2,15,"Oh Brother, Where Art Thou?","February 21, 1991 (1991-02-21)",26.8
29,2,16,"Bart's Dog Gets an ""F""","March 7, 1991 (1991-03-07)",23.9
30,2,17,Old Money,"March 28, 1991 (1991-03-28)",21.2
31,2,18,Brush with Greatness,"April 11, 1991 (1991-04-11)",20.6
32,2,19,Lisa's Substitute,"April 25, 1991 (1991-04-25)",17.7
33,2,20,The War of the Simpsons,"May 2, 1991 (1991-05-02)",19.7
34,2,21,Three Men and a Comic Book,"May 9, 1991 (1991-05-09)",21
35,2,22,Blood Feud,"July 11, 1991 (1991-07-11)",17.3
36,3,1,Stark Raving Dad,"September 19, 1991 (1991-09-19)",22.9
37,3,2,Mr. Lisa Goes to Washington,"September 26, 1991 (1991-09-26)",20.2
38,3,3,When Flanders Failed,"October 3, 1991 (1991-10-03)",22.8
39,3,4,Bart the Murderer,"October 10, 1991 (1991-10-10)",20.8
40,3,5,Homer Defined,"October 17, 1991 (1991-10-17)",20.6
41,3,6,"Like Father, Like Clown","October 24, 1991 (1991-10-24)",20.2
42,3,7,Treehouse of Horror II,"October 31, 1991 (1991-10-31)",20
43,3,8,Lisa's Pony,"November 7, 1991 (1991-11-07)",23
44,3,9,Saturdays of Thunder,"November 14, 1991 (1991-11-14)",24.7
45,3,10,Flaming Moe's,"November 21, 1991 (1991-11-21)",23.9
46,3,11,Burns Verkaufen der Kraftwerk,"December 5, 1991 (1991-12-05)",21.1
47,3,12,I Married Marge,"December 26, 1991 (1991-12-26)",21.9
48,3,13,Radio Bart,"January 9, 1992 (1992-01-09)",24.2
49,3,14,Lisa the Greek,"January 23, 1992 (1992-01-23)",23.2
50,3,15,Homer Alone,"February 6, 1992 (1992-02-06)",23.7
51,3,16,Bart the Lover,"February 13, 1992 (1992-02-13)",20.5
52,3,17,Homer at the Bat,"February 20, 1992 (1992-02-20)",24.6
53,3,18,Separate Vocations,"February 27, 1992 (1992-02-27)",23.7
54,3,19,Dog of Death,"March 12, 1992 (1992-03-12)",23.4
55,3,20,Colonel Homer,"March 26, 1992 (1992-03-26)",25.5
56,3,21,Black Widower,"April 9, 1992 (1992-04-09)",17.3
57,3,22,The Otto Show,"April 23, 1992 (1992-04-23)",17.5
58,3,23,Bart's Friend Falls in Love,"May 7, 1992 (1992-05-07)",19.5
59,3,24,"Brother, Can You Spare Two Dimes?","August 27, 1992 (1992-08-27)",17.2
60,4,1,Kamp Krusty,"September 24, 1992 (1992-09-24)",21.8
61,4,2,A Streetcar Named Marge,"October 1, 1992 (1992-10-01)",18.3
62,4,3,Homer the Heretic,"October 8, 1992 (1992-10-08)",19.3
63,4,4,Lisa the Beauty Queen,"October 15, 1992 (1992-10-15)",19
64,4,5,Treehouse of Horror III,"October 29, 1992 (1992-10-29)",25.1
65,4,6,Itchy & Scratchy: The Movie,"November 3, 1992 (1992-11-03)",20.1
66,4,7,Marge Gets a Job,"November 5, 1992 (1992-11-05)",22.9
67,4,8,New Kid on the Block,"November 12, 1992 (1992-11-12)",23.1
68,4,9,Mr. Plow,"November 19, 1992 (1992-11-19)",24
69,4,10,Lisa's First Word,"December 3, 1992 (1992-12-03)",28.6
70,4,11,Homer's Triple Bypass,"December 17, 1992 (1992-12-17)",23.6
71,4,12,Marge vs. the Monorail,"January 14, 1993 (1993-01-14)",23
72,4,13,Selma's Choice,"January 21, 1993 (1993-01-21)",24.5
73,4,14,Brother from the Same Planet,"February 4, 1993 (1993-02-04)",23.8
74,4,15,I Love Lisa,"February 11, 1993 (1993-02-11)",25.2
75,4,16,Duffless,"February 18, 1993 (1993-02-18)",25.7
76,4,17,Last Exit to Springfield,"March 11, 1993 (1993-03-11)",22.4
77,4,18,So It's Come to This: A Simpsons Clip Show,"April 1, 1993 (1993-04-01)",25.5
78,4,19,The Front,"April 15, 1993 (1993-04-15)",20.1
79,4,20,Whacking Day,"April 29, 1993 (1993-04-29)",20
80,4,21,Marge in Chains,"May 6, 1993 (1993-05-06)",17.3
81,4,22,Krusty Gets Kancelled,"May 13, 1993 (1993-05-13)",19.4
82,5,1,Homer's Barbershop Quartet,"September 30, 1993 (1993-09-30)",19.9
83,5,2,Cape Feare,"October 7, 1993 (1993-10-07)",20.0
84,5,3,Homer Goes to College,"October 14, 1993 (1993-10-14)",18.1
85,5,4,Rosebud,"October 21, 1993 (1993-10-21)",19.5
86,5,5,Treehouse of Horror IV,"October 28, 1993 (1993-10-28)",24.0
87,5,6,Marge on the Lam,"November 4, 1993 (1993-11-04)",21.7
88,5,7,Bart's Inner Child,"November 11, 1993 (1993-11-11)",18.7
89,5,8,Boy-Scoutz 'n the Hood,"November 18, 1993 (1993-11-18)",20.1
90,5,9,The Last Temptation of Homer,"December 9, 1993 (1993-12-09)",20.6
91,5,10,"$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)","December 16, 1993 (1993-12-16)",17.9
92,5,11,Homer the Vigilante,"January 6, 1994 (1994-01-06)",20.1
93,5,12,Bart Gets Famous,"February 3, 1994 (1994-02-03)",20.0
94,5,13,Homer and Apu,"February 10, 1994 (1994-02-10)",21.8
95,5,14,Lisa vs. Malibu Stacy,"February 17, 1994 (1994-02-17)",20.5
96,5,15,Deep Space Homer,"February 24, 1994 (1994-02-24)",18.2
97,5,16,Homer Loves Flanders,"March 17, 1994 (1994-03-17)",18.0
98,5,17,Bart Gets an Elephant,"March 31, 1994 (1994-03-31)",17.0
99,5,18,Burns' Heir,"April 14, 1994 (1994-04-14)",14.7
100,5,19,Sweet Seymour Skinner's Baadasssss Song,"April 28, 1994 (1994-04-28)",19.7
101,5,20,The Boy Who Knew Too Much,"May 5, 1994 (1994-05-05)",15.5
102,5,21,Lady Bouvier's Lover,"May 12, 1994 (1994-05-12)",15.1
103,5,22,Secrets of a Successful Marriage,"May 19, 1994 (1994-05-19)",15.6
104,6,1,Bart of Darkness,"September 4, 1994 (1994-09-04)",15.1
105,6,2,Lisa's Rival,"September 11, 1994 (1994-09-11)",16.7
106,6,3,Another Simpsons Clip Show,"September 25, 1994 (1994-09-25)",13.5
107,6,4,Itchy & Scratchy Land,"October 2, 1994 (1994-10-02)",14.8
108,6,5,Sideshow Bob Roberts,"October 9, 1994 (1994-10-09)",14.4
109,6,6,Treehouse of Horror V,"October 30, 1994 (1994-10-30)",22.2
110,6,7,Bart's Girlfriend,"November 6, 1994 (1994-11-06)",15.3
111,6,8,Lisa on Ice,"November 13, 1994 (1994-11-13)",17.9
112,6,9,Homer Badman,"November 27, 1994 (1994-11-27)",17.0
113,6,10,Grampa vs. Sexual Inadequacy,"December 4, 1994 (1994-12-04)",14.1
114,6,11,Fear of Flying,"December 18, 1994 (1994-12-18)",15.6
115,6,12,Homer the Great,"January 8, 1995 (1995-01-08)",20.1
116,6,13,And Maggie Makes Three,"January 22, 1995 (1995-01-22)",17.3
117,6,14,Bart's Comet,"February 5, 1995 (1995-02-05)",18.7
118,6,15,Homie the Clown,"February 12, 1995 (1995-02-12)",17.6
119,6,16,Bart vs. Australia,"February 19, 1995 (1995-02-19)",15.1
120,6,17,Homer vs. Patty and Selma,"February 26, 1995 (1995-02-26)",18.9
121,6,18,A Star Is Burns,"March 5, 1995 (1995-03-05)",14.4
122,6,19,Lisa's Wedding,"March 19, 1995 (1995-03-19)",14.4
