episode_name,IMDB rating
Simpsons Roasting on an Open Fire,8.2
Bart the Genius,7.8
Homer's Odyssey,7.4
There's No Disgrace Like Home,7.7
Bart the General,8.1
Moaning Lisa,7.6
The Call of the Simpsons,7.8
The Telltale Head,7.7
Life on the Fast Lane,7.5
Homer's Night Out,7.4
The Crepes of Wrath,7.8
Krusty Gets Busted,8.4
Some Enchanted Evening,7.8
Bart Gets an F,8.2
Simpson and Delilah,8.3
Treehouse of Horror,8.3
Two Cars in Every Garage and Three Eyes on Every Fish,8.1
Dancin' Homer,7.5
Dead Putting Society,8
Bart vs. Thanksgiving,7.8
Bart the Daredevil,8.4
Itchy and Scratchy and Marge,8.1
Bart Gets Hit by a Car,7.8
"One Fish, Two Fish, Blowfish, Blue Fish",8.8
The Way We Was,8.3
Homer vs. Lisa and the 8th Commandment,8
Principal Charming,7.5
"Oh Brother, Where Art Thou?",8.3
Bart's Dog Gets an F,7.5
Old Money,7.6
Brush with Greatness,8
Lisa's Substitute,8.5
The War of the Simpsons,7.9
Three Men and a Comic Book,8.3
Blood Feud,7.9
Stark Raving Dad,8.6
Mr. Lisa Goes to Washington,7.8
When Flanders Failed,8.2
Bart the Murderer,8.7
Homer Defined,8.5
"Like Father, Like Clown",7.7
Treehouse of Horror II,8.3
Lisa's Pony,7.9
Saturdays of Thunder,8
Flaming Moe's,8.8
Burns Verkaufen der Kraftwerk,8.3
I Married Marge,8.3
Radio Bart,8.5
Lisa the Greek,8
Homer Alone,8.1
Bart the Lover,8.3
Homer at the Bat,8.7
Separate Vocations,8.2
Dog of Death,7.8
Colonel Homer,8
Black Widower,8.3
The Otto Show,7.8
Bart's Friend Falls in Love,7.8
"Brother, Can You Spare Two Dimes?",8.2
Kamp Krusty,8.5
A Streetcar Named Marge,8.2
Homer the Heretic,9
Lisa the Beauty Queen,7.8
Treehouse of Horror III,8.5
Itchy & Scratchy: The Movie,8.2
Marge Gets a Job,7.9
New Kid on the Block,8.2
Mr. Plow,8.9
Lisa's First Word,8.6
Homer's Triple Bypass,8.7
Marge vs. the Monorail,9.1
Selma's Choice,8
Brother from the Same Planet,8.2
I Love Lisa,8.4
Duffless,8.4
Last Exit to Springfield,9.1
So It's Come to This: A Simpsons Clip Show,7.1
The Front,8.1
Whacking Day,8.1
Marge in Chains,7.7
Krusty Gets Kancelled,8.2
Homer's Barbershop Quartet,8.5
Cape Feare,9.1
Homer Goes to College,8.6
Rosebud,8.9
Treehouse of Horror IV,8.8
Marge on the Lam,8.1
Bart's Inner Child,7.7
Boy Scoutz 'n the Hood,8.7
The Last Temptation of Homer,8.5
"$pringfield (Or, How I Learned to Stop Worrying and Love Legalized Gambling)",8.6
Homer the Vigilante,8.3
Bart Gets Famous,8.2
Homer and Apu,8.3
Lisa vs. Malibu Stacy,8.2
Deep Space Homer,8.8
Homer Loves Flanders,8.5
Bart Gets an Elephant,7.9
Burns' Heir,8.4
Sweet Seymour Skinner's Baadasssss Song,8.4
The Boy Who Knew Too Much,8.3
Lady Bouvier's Lover,7.6
Secrets of a Successful Marriage,8.1
Bart of Darkness,8.7
Lisa's Rival,8.1
Another Simpsons Clip Show,5.9
Itchy & Scratchy Land,8.6
Sideshow Bob Roberts,8.3
Treehouse of Horror V,9.1
Bart's Girlfriend,8.1
Lisa on Ice,8.5
Homer Badman,9
Grampa vs. Sexual Inadequacy,8.1
Fear of Flying,7.8
Homer the Great,9
And Maggie Makes Three,8.8
Bart's Comet,8.7
Homie the Clown,8.6
Bart vs. Australia,8.5
Homer vs. Patty and Selma,7.9
A Star Is Burns,8.5
Lisa's Wedding,8.3
Two Dozen and One Greyhounds,8.2
The PTA Disbands,8.1
'Round Springfield,8.2
