name,value
Lisa Simpson,0.47058823529411764
Homer Simpson,0.9411764705882353
Bart Simpson,0.8823529411764706
Marge Simpson,0.7647058823529411
Krusty the Clown,0.47058823529411764
Ned Flanders,0.3529411764705882
Cookie Kwan,0.1764705882352941
Rainier Wolfcastle,0.1764705882352941
Ralph Wiggum,0.47058823529411764
Miss Springfield,0.47058823529411764
Apu Nahasapeemapetilon,0.47058823529411764
Manjula Nahasapeemapetilon,0.47058823529411764
Maggie Simpson,0.29411764705882354
Kirk Van Houten,0.29411764705882354
Moe Szyslak,0.29411764705882354
Snowball II,0.1764705882352941
Duff McShark,0.1764705882352941
Milhouse Van Houten,0.1764705882352941
