name,value
Marge Simpson,0.4117647058823529
Mr. Burns,0.1764705882352941
Charles Montgomery Burns,0.1764705882352941
Bart Simpson,0.9411764705882353
Homer Simpson,0.6470588235294118
Martin Prince,0.058823529411764705
Marvin Monroe,0.058823529411764705
Abe,0.23529411764705882
Abraham Simpson II,0.23529411764705882
Nelson Muntz,0.23529411764705882
Lisa Simpson,0.5882352941176471
Herman Hermann,0.23529411764705882
Bleeding Gums Murphy,0.23529411764705882
Maggie Simpson,0.11764705882352941
Jebediah Springfield,0.058823529411764705
Princess Kashmir,0.1764705882352941
Seymour Skinner,0.058823529411764705
Sideshow Bob,0.23529411764705882
Krusty the Clown,0.23529411764705882
Lucille Botzcowski,0.23529411764705882
